group,item,sentence,word_order,set,structure,plausible,
1,1,Köpekler adamı ısırdı.,nonreversed,biased,active,yes,
2,2,Adamlar köpeği ısırdı.,reversed,biased,active,no,
3,3,Adamlar köpek tarafından ısırıldı.,nonreversed,biased,passive,yes,
4,4,Adamlar köpek tarafından ısırıldı.,reversed,biased,passive,no,
1,1,Aşçılar yemeği mahvetti.,nonreversed,biased,active,yes,
2,2,Yemekler aşçıyı mahvetti.,reversed,biased,active,no,
3,3,Yemekler aşçı tarafından mahvedildi.,nonreversed,biased,passive,yes,
4,4,Aşçılar yemek tarafından mahvedildi.,reversed,biased,passive,no,
1,1,Kuşlar solucanı yedi.,nonreversed,biased,active,yes,
2,2,Solucanlar kuşu yedi.,reversed,biased,active,no,
3,3,Solucanlar kuş tarafından yendi.,nonreversed,biased,passive,yes,
4,4,Kuşlar solucan tarafından yendi.,reversed,biased,passive,no,
1,1,Kediler fareyi kovaladı.,nonreversed,biased,active,yes,
2,2,Fareler kediyi kovaladı.,reversed,biased,active,no,
3,3,Fareler kedi tarafından kovalandı.,nonreversed,biased,passive,yes,
4,4,Kediler fare tarafından kovaladı.,reversed,biased,passive,no,
1,1,Askerler tutsağı yakaladı.,nonreversed,biased,active,yes,
2,2,Tutsaklar askeri yakaladı.,reversed,biased,active,no,
3,3,Tutsaklar asker tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Askerler tutsak tarafından yakalandı.,reversed,biased,passive,no,
1,1,Öğretmenler öğrenciyi sınava aldı.,nonreversed,biased,active,yes,
2,2,Öğrenciler öğretmeni sınava aldı.,reversed,biased,active,no,
3,3,Öğrenciler öğretmen tarafıdan sınava alındı.,nonreversed,biased,passive,yes,
4,4,Öğretmenler öğrenci tarafından sınava alındı.,reversed,biased,passive,no,
1,1,Avukatlar doktoru mahkemeye verdi.,nonreversed,biased,active,yes,
2,2,Doktorlar avukatı mahkemeye verdi.,reversed,biased,active,no,
3,3,Doktorlar avukat tarafından mahkemeye verildi.,nonreversed,biased,passive,yes,
4,4,Avukatlar doktor tarafından mahkemeye verildi.,reversed,biased,passive,no,
1,1,Polisler hırsızı kovaladı.,nonreversed,biased,active,yes,
2,2,Hırsızlar polisi kovaladı.,reversed,biased,active,no,
3,3,Hırsızlar polis tarafından kovalandı.,nonreversed,biased,passive,yes,
4,4,Polisler hırsız tarafından kovanandı.,reversed,biased,passive,no,
1,1,Garsonlar adamı ağırladı.,nonreversed,biased,active,yes,
2,2,Adamlar garsonu ağırladı.,reversed,biased,active,no,
3,3,Adamlar garson tarafından ağırlandı.,nonreversed,biased,passive,yes,
4,4,Garsonlar adam tarafından ağırlandı.,reversed,biased,passive,no,
1,1,Kasaplar kediyi besledi.,nonreversed,biased,active,yes,
2,2,Kediler kasabı besledi.,reversed,biased,active,no,
3,3,Kediler kasap tarafından beslendi.,nonreversed,biased,passive,yes,
4,4,Kasaplar kedi tarafından beslendi.,reversed,biased,passive,no,
1,1,Dedektifler şüpheliyi araştırdı.,nonreversed,biased,active,yes,
2,2,Şüpheliler dedektifi araştırdı.,reversed,biased,active,no,
3,3,Şüpheliler dedektif tarafından araştırıldı.,nonreversed,biased,passive,yes,
4,4,Dedektifler şüpheli tqrafından araştırıldı.,reversed,biased,passive,no,
1,1,Doktorlar hastayı tedavi etti.,nonreversed,biased,active,yes,
2,2,Hastalar doktoru tedavi etti.,reversed,biased,active,no,
3,3,Hastalar doktor tarafından tedavi edildi.,nonreversed,biased,passive,yes,
4,4,Doktorlar hasta tarafından tedavi edildi.,reversed,biased,passive,no,
1,1,Siyasetçiler seçmeni kandırdı.,nonreversed,biased,active,yes,
2,2,Seçmenler siyasetçiyi kandırdı.,reversed,biased,active,no,
3,3,Seçmenler siyasetçi tarafından kandırıldı.,nonreversed,biased,passive,yes,
4,4,Siyasetçiler seçmen tarafından kandırıldı.,reversed,biased,passive,no,
1,1,Avcılar tavşanı öldürdü.,nonreversed,biased,active,yes,
2,2,Tavşanlar avcıyı öldürdü.,reversed,biased,active,no,
3,3,Tavşanlar avcı tarafından öldürüldü.,nonreversed,biased,passive,yes,
4,4,Avcılar tavşan tarafından öldürüldü.,reversed,biased,passive,no,
1,1,Atlar biniciyi attı.,nonreversed,biased,active,yes,
2,2,Biniciler atı attı.,reversed,biased,active,no,
3,3,Biniciler at tarafından atıldı.,nonreversed,biased,passive,yes,
4,4,Atlar binici tarafından atıldı.,reversed,biased,passive,no,
1,1,Basketçiler topu savurdu.,nonreversed,biased,active,yes,
2,2,Toplar basketçiyi savurdu.,reversed,biased,active,no,
3,3,Toplar basketçi tarafından savruldu.,nonreversed,biased,passive,yes,
4,4,Basketçiler top tarafından savruldu.,reversed,biased,passive,no,
1,1,Avcılar geyiği vurdu.,nonreversed,biased,active,yes,
2,2,Geyikler avcıyı vurdu.,reversed,biased,active,no,
3,3,Geyikler avcı tarafından vuruldu.,nonreversed,biased,passive,yes,
4,4,Avcılar geyik tarafından vuruldu.,reversed,biased,passive,no,
1,1,Kurbağalar sineği yakaladı.,nonreversed,biased,active,yes,
2,2,Sinekler kurbağayı yakaladı.,reversed,biased,active,no,
3,3,Sinekler kurbağa tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Kurbağalar sinek tarafından yakalandı.,reversed,biased,passive,no,
1,1,Hayaletler çocuğu korkuttu.,nonreversed,biased,active,yes,
2,2,Çocuklar hayaleti korkuttu.,reversed,biased,active,no,
3,3,Çocuklar hayalet tarafından korkutuldu.,nonreversed,biased,passive,yes,
4,4,Hayaletler çocuk tarafından korkutuldu.,reversed,biased,passive,no,
1,1,Atlar jokeyi tekmeledi.,nonreversed,biased,active,yes,
2,2,Jokeyler atı tekmeledi.,reversed,biased,active,no,
3,3,Jokeyler at tarafından tekmelendi.,nonreversed,biased,passive,yes,
4,4,Atlar jokey tarafından tekmelendi.,reversed,biased,passive,no,
1,1,Kampçılar balığı yakaladı.,nonreversed,biased,active,yes,
2,2,Balıklar kampçıyı yakaladı.,reversed,biased,active,no,
3,3,Balıklar kampçı tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Kampçılar balık tarafından yakalandı.,reversed,biased,passive,no,
1,1,Çobanlar koyunu besledi.,nonreversed,biased,active,yes,
2,2,Koyunlar çobanı besledi.,reversed,biased,active,no,
3,3,Koyunlar çoban tarafından beslendi.,nonreversed,biased,passive,yes,
4,4,Çobanlar koyun tarafından beslendi.,reversed,biased,passive,no,
1,1,Polisler vatandaşı tutukladı.,nonreversed,biased,active,yes,
2,2,Vatandaşlar polisi tutukladı.,reversed,biased,active,no,
3,3,Vatandaşlar polis tarafından tutuklandı.,nonreversed,biased,passive,yes,
4,4,Polisler vatandaş tarafından tutuklandı.,reversed,biased,passive,no,
1,1,Prensler ejderhayı kılıçtan geçirdi.,nonreversed,biased,active,yes,
2,2,Ejderhalar prensi kılıçtan geçirdi.,reversed,biased,active,no,
3,3,Ejderhalar prens tarafından kılıçtan geçirildi.,nonreversed,biased,passive,yes,
4,4,Prensler ejderha tarafından kılıçtan geçirildi.,reversed,biased,passive,no,
1,1,Şefler önlüğü giydi.,nonreversed,irreversible,active,yes,
2,2,Önlükler şefi giydi.,reversed,irreversible,active,no,
3,3,Önlükler şef tarafından giyildi.,nonreversed,irreversible,passive,yes,
4,4,Şefler önlük tarafından giyildi.,reversed,irreversible,passive,no,
1,1,Çiftçiler mısırı ekti.,nonreversed,irreversible,active,yes,
2,2,Mısırlar çiftçiyi ekti.,reversed,irreversible,active,no,
3,3,Mısırlar çiftçi tarafından ekildi.,nonreversed,irreversible,passive,yes,
4,4,Çiftçiler mısır tarafından ekildi.,reversed,irreversible,passive,no,
1,1,Fareler peyniri kemirdi.,nonreversed,irreversible,active,yes,
2,2,Peynirler fareyi kemirdi,reversed,irreversible,active,no,
3,3,Peynirler fare tarafından kemirildi.,nonreversed,irreversible,passive,yes,
4,4,Fareler peynir tarafından kemirildi,reversed,irreversible,passive,no,
1,1,Köpekler kemiği gömdü.,nonreversed,irreversible,active,yes,
2,2,Kemikler köpeği gömdü.,reversed,irreversible,active,no,
3,3,Kemikler köpek tarafından gömüldü.,nonreversed,irreversible,passive,yes,
4,4,Köpekler kemik tarafından gömüldü.,reversed,irreversible,passive,no,
1,1,Editörler makaleyi değerlendirdi.,nonreversed,irreversible,active,yes,
2,2,Makaleler editörü değerlendirdi.,reversed,irreversible,active,no,
3,3,Makaleler editör tarafından değerlendirildi.,nonreversed,irreversible,passive,yes,
4,4,Editörler makale tarafından değerlendirildi.,reversed,irreversible,passive,no,
1,1,Komedyenler şakayı patlattı.,nonreversed,irreversible,active,yes,
2,2,Şakalar komedyeni patlattı.,reversed,irreversible,active,no,
3,3,Şakalar komedyen tarafından patlatıldı.,nonreversed,irreversible,passive,yes,
4,4,Komedyenler şaka tarafından patlatıldı.,reversed,irreversible,passive,no,
1,1,Tesisatçılar lavaboyu tamir etti.,nonreversed,irreversible,active,yes,
2,2,Lavabolar tesisatçıyı tamir etti.,reversed,irreversible,active,no,
3,3,Lavabolar tesisatçı tarafından tamir edildi.,nonreversed,irreversible,passive,yes,
4,4,Tesisatçılar lavabo tarafından tamir edildi.,reversed,irreversible,passive,no,
1,1,Koşucular yarışı kazandı.,nonreversed,irreversible,active,yes,
2,2,Yarışlar koşucuyu kazandı.,reversed,irreversible,active,no,
3,3,Yarışlar koşucu tarafından kazanıldı.,nonreversed,irreversible,passive,yes,
4,4,Koşucular yarış tarafından kazanıldı.,reversed,irreversible,passive,no,
1,1,İnekler samanı çiğnedi.,nonreversed,irreversible,active,yes,
2,2,Samanlar ineği çiğnedi.,reversed,irreversible,active,no,
3,3,Samanlar inek tarafından çiğnendi.,nonreversed,irreversible,passive,yes,
4,4,İnekler saman tarafından çiğnendi.,reversed,irreversible,passive,no,
1,1,Şarkıcılar müziği başlattı.,nonreversed,irreversible,active,yes,
2,2,Müzikler şarkıcıyı başlattı.,reversed,irreversible,active,no,
3,3,Müzikler şarkıcı tarafından başlatıldı.,nonreversed,irreversible,passive,yes,
4,4,Şarkıcılar müzik tarafından başlatıldı.,reversed,irreversible,passive,no,
1,1,Sekreterler mektubu yazdı.,nonreversed,irreversible,active,yes,
2,2,Mektuplar sekreteri yazdı.,reversed,irreversible,active,no,
3,3,Mektuplar sekreter tarafından yazıldı.,nonreversed,irreversible,passive,yes,
4,4,Sekreterler mektup tarafından yazıldı.,reversed,irreversible,passive,no,
1,1,Ressamlar manzarayı çizdi.,nonreversed,irreversible,active,yes,
2,2,Manzaralar ressamı çizdi.,reversed,irreversible,active,no,
3,3,Manzaralar ressam tarafından çizildi.,nonreversed,irreversible,passive,yes,
4,4,Ressamlar manzara tarafından çizildi.,reversed,irreversible,passive,no,
1,1,Tahta kurtları mobilyayı yedi.,nonreversed,irreversible,active,yes,
2,2,Mobilyalar tahta kurdunu yedi.,reversed,irreversible,active,no,
3,3,Mobilyalar tahta kurtları tarafından yendi.,nonreversed,irreversible,passive,yes,
4,4,Tahta kurtları mobilya tarafından yendi.,reversed,irreversible,passive,no,
1,1,Örümcekler ağı ördü.,nonreversed,irreversible,active,yes,
2,2,Ağlar örümceği ördü.,reversed,irreversible,active,no,
3,3,Ağlar örümcek tarafından örüldü.,nonreversed,irreversible,passive,yes,
4,4,Örümcekler ağ tarafından örüldü.,reversed,irreversible,passive,no,
1,1,Karıncalar yükü taşıdı.,nonreversed,irreversible,active,yes,
2,2,Yükler karıncayı taşıdı.,reversed,irreversible,active,no,
3,3,Yükler karınca tarafından taşındı.,nonreversed,irreversible,passive,yes,
4,4,Karıncalar yük tarafından taşındı.,reversed,irreversible,passive,no,
1,1,Hemşireler serumu taktı.,nonreversed,irreversible,active,yes,
2,2,Serumlar hemşireyi taktı.,reversed,irreversible,active,no,
3,3,Serumlar hemşire tarafından takıldı.,nonreversed,irreversible,passive,yes,
4,4,Hemşireler serum tarafından takıldı.,reversed,irreversible,passive,no,
1,1,Korsanlar hazineyi sakladı.,nonreversed,irreversible,active,yes,
2,2,Hazineler korsanı sakladı.,reversed,irreversible,active,no,
3,3,Hazineler korsan tarafından saklandı.,nonreversed,irreversible,passive,yes,
4,4,Korsanlar hazine tarafından saklandı.,reversed,irreversible,passive,no,
1,1,Kunduzlar ağacı kemirdi.,nonreversed,irreversible,active,yes,
2,2,Ağaçlar kunduzu kemirdi.,reversed,irreversible,active,no,
3,3,Ağaçlar kunduz tarafından kemirildi.,nonreversed,irreversible,passive,yes,
4,4,Kunduzlar ağaç tarafından kemirildi.,reversed,irreversible,passive,no,
1,1,Doktorlar aşıyı yaptı.,nonreversed,irreversible,active,yes,
2,2,Aşılar doktoru yaptı.,reversed,irreversible,active,no,
3,3,Aşılar doktor tarafından yapıldı.,nonreversed,irreversible,passive,yes,
4,4,Doktorlar aşı tarafından yapıldı.,reversed,irreversible,passive,no,
1,1,Dişçiler çürüğü temizledi.,nonreversed,irreversible,active,yes,
2,2,Çürükler dişçiyi temizledi.,reversed,irreversible,active,no,
3,3,Çürükler dişçi tarafından temizlendi.,nonreversed,irreversible,passive,yes,
4,4,Dişçiler çürük tarafından temizlendi.,reversed,irreversible,passive,no,
1,1,Traktörler toprağı sürdü.,nonreversed,irreversible,active,yes,
2,2,Topraklar traktörü sürdü.,reversed,irreversible,active,no,
3,3,Topraklar traktör tarafından sürüldü.,nonreversed,irreversible,passive,yes,
4,4,Traktörler toprak tarafından sürüldü.,reversed,irreversible,passive,no,
1,1,Terziler eteği dikti.,nonreversed,irreversible,active,yes,
2,2,Etekler terziyi dikti.,reversed,irreversible,active,no,
3,3,Etekler terzi tarafından dikildi.,nonreversed,irreversible,passive,yes,
4,4,Terziler etek tarafından dikildi.,reversed,irreversible,passive,no,
1,1,Çocuklar suyu döktü.,nonreversed,irreversible,active,yes,
2,2,Sular çocuğu döktü.,reversed,irreversible,active,no,
3,3,Sular çocuk tarafından döküldü.,nonreversed,irreversible,passive,yes,
4,4,Çocuklar su tarafından döküldü.,reversed,irreversible,passive,no,
1,1,Pilotlar uçağı kaldırdı.,nonreversed,irreversible,active,yes,
2,2,Uçaklar pilotu kaldırdı.,reversed,irreversible,active,no,
3,3,Uçaklar pilot tarafından kaldırıldı.,nonreversed,irreversible,passive,yes,
4,4,Pilotlar uçak tarafından kaldırıldı.,reversed,irreversible,passive,no,
1,1,Çocuklar misafiri selamladı.,nonreversed,symmetrical,active,yes,
2,2,Misafirler çocuğu selamladı.,reversed,symmetrical,active,yes,
3,3,Misafirler çocuk tarafından selamlandı.,nonreversed,symmetrical,passive,yes,
4,4,Çocuklar misafir tarafından selamladı.,reversed,symmetrical,passive,yes,
1,1,Oğlanlar kızı itti.,nonreversed,symmetrical,active,yes,
2,2,Kızlar oğlanı itti.,reversed,symmetrical,active,yes,
3,3,Kızlar oğlan tarafından itildi.,nonreversed,symmetrical,passive,yes,
4,4,Oğlanlar kız tarafından itildi.,reversed,symmetrical,passive,yes,
1,1,Teyzeler bebeği öptü.,nonreversed,symmetrical,active,yes,
2,2,Bebekler teyzeyi öptü.,reversed,symmetrical,active,yes,
3,3,Bebekler teyze tarafından öpüldü.,nonreversed,symmetrical,passive,yes,
4,4,Teyzeler bebek tarafından öpüldü.,reversed,symmetrical,passive,yes,
1,1,Kurullar başkanı tanıttı.,nonreversed,symmetrical,active,yes,
2,2,Başkanlar kurulu tanıttı.,reversed,symmetrical,active,yes,
3,3,Başkanlar kurul tarafından tanıtıldı.,nonreversed,symmetrical,passive,yes,
4,4,Kurullar başkan tarafından tanıtıldı.,reversed,symmetrical,passive,yes,
1,1,Yayalar şoförü gördü.,nonreversed,symmetrical,active,yes,
2,2,Şoförler yayayı gördü.,reversed,symmetrical,active,yes,
3,3,Şoförler yaya tarafından görüldü.,nonreversed,symmetrical,passive,yes,
4,4,Yayalar şoför tarafından görüldü.,reversed,symmetrical,passive,yes,
1,1,Patronlar adamı aradı.,nonreversed,symmetrical,active,yes,
2,2,Adamlar patronu aradı.,reversed,symmetrical,active,yes,
3,3,Adamlar patron tarafından arandı.,nonreversed,symmetrical,passive,yes,
4,4,Patronlar adam tarafından arandı.,reversed,symmetrical,passive,yes,
1,1,Komşular kadını ziyaret etti.,nonreversed,symmetrical,active,yes,
2,2,Kadınlar komşuyu ziyaret etti.,reversed,symmetrical,active,yes,
3,3,Kadınlar komşu tarafından ziyaret edildi.,nonreversed,symmetrical,passive,yes,
4,4,Komşular kadın tarafından ziyaret edildi.,reversed,symmetrical,passive,yes,
1,1,Aktörler seyirciyi güldürdü.,nonreversed,symmetrical,active,yes,
2,2,Seyirciler aktörü güldürdü.,reversed,symmetrical,active,yes,
3,3,Seyirciler aktör tarafından güldürüldü.,nonreversed,symmetrical,passive,yes,
4,4,Aktörler seyirci tarafından güldürüldü.,reversed,symmetrical,passive,yes,
1,1,Kuşlar çocuğu duydu.,nonreversed,symmetrical,active,yes,
2,2,Çocuklar kuşu duydu.,reversed,symmetrical,active,yes,
3,3,Çocuklar kuş tarafından duyuldu.,nonreversed,symmetrical,passive,yes,
4,4,Kuşlar çocuk tarafından duyuldu.,reversed,symmetrical,passive,yes,
1,1,Yapımcılar yönetmeni tanıdı.,nonreversed,symmetrical,active,yes,
2,2,Yönetmenler yapımcıyı tanıdı.,reversed,symmetrical,active,yes,
3,3,Yönetmenler yapımcı tarafından tanındı.,nonreversed,symmetrical,passive,yes,
4,4,Yapımcılar yönetmen tarafından tanındı.,reversed,symmetrical,passive,yes,
1,1,Görevliler dilenciyi şikayet etti.,nonreversed,symmetrical,active,yes,
2,2,Dilenciler görevliyi şikâyet etti.,reversed,symmetrical,active,yes,
3,3,Dilenciler görevli tarafından şikayet edildi.,nonreversed,symmetrical,passive,yes,
4,4,Görevliler dilenci tarafından şikâyet edildi.,reversed,symmetrical,passive,yes,
1,1,Çocuklar köpeği sevdi.,nonreversed,symmetrical,active,yes,
2,2,Köpekler çocuğu sevdi.,reversed,symmetrical,active,yes,
3,3,Köpekler çocuk tarafından sevildi.,nonreversed,symmetrical,passive,yes,
4,4,Çocuklar köpek tarafından sevildi.,reversed,symmetrical,passive,yes,
1,1,Bakkalcılar fırıncıyı dövdü.,nonreversed,symmetrical,active,yes,
2,2,Fırıncılar bakkalcıyı dövdü.,reversed,symmetrical,active,yes,
3,3,Fırıncılar bakkal tarafından dövüldü.,nonreversed,symmetrical,passive,yes,
4,4,Bakkacılar fırıncı tarafından dövüldü.,reversed,symmetrical,passive,yes,
1,1,Takımlar oyuncuyu seçti.,nonreversed,symmetrical,active,yes,
2,2,Oyuncular takımı seçti.,reversed,symmetrical,active,yes,
3,3,Oyuncular takım tarafından seçildi.,nonreversed,symmetrical,passive,yes,
4,4,Takımlar oyuncu tarafından seçildi.,reversed,symmetrical,passive,yes,
1,1,Tezgahtarlar bekçiyi uğurladı.,nonreversed,symmetrical,active,yes,
2,2,Bekçiler tezgahtarı uğurladı.,reversed,symmetrical,active,yes,
3,3,Bekçiler tezgahtar tarafından uğurlandı.,nonreversed,symmetrical,passive,yes,
4,4,Tezgahtarlar bekçi tarafından uğurlandı.,reversed,symmetrical,passive,yes,
1,1,Öğretmenler veliyi sıkıştırdı.,nonreversed,symmetrical,active,yes,
2,2,Veliler öğretmeni sıkıştırdı.,reversed,symmetrical,active,yes,
3,3,Veliler öğretmen tarafından sıkıştırıldı.,nonreversed,symmetrical,passive,yes,
4,4,Öğretmenler veli tarafından sıkıştırıldı.,reversed,symmetrical,passive,yes,
1,1,Köpekler kediyi gördü.,nonreversed,symmetrical,active,yes,
2,2,Kediler köpeği gördü.,reversed,symmetrical,active,yes,
3,3,Kediler köpek tarafından görüldü.,nonreversed,symmetrical,passive,yes,
4,4,Köpekler kedi tarafından görüldü.,reversed,symmetrical,passive,yes,
1,1,Emlakçılar müşteriyi ikna etti.,nonreversed,symmetrical,active,yes,
2,2,Müşteriler emlakçıyı ikna etti.,reversed,symmetrical,active,yes,
3,3,Müşteriler emlakçı tarafından ikna edildi.,nonreversed,symmetrical,passive,yes,
4,4,Emlakçılar müşteri tarafından ikna edildi.,reversed,symmetrical,passive,yes,
1,1,Forvetler kaleciyi zorladı.,nonreversed,symmetrical,active,yes,
2,2,Kaleciler forveti zorladı.,reversed,symmetrical,active,yes,
3,3,Kaleciler forvet tarafından zorlandı.,nonreversed,symmetrical,passive,yes,
4,4,Forvetler kaleci tarafından zorlandı.,reversed,symmetrical,passive,yes,
1,1,Bankacılar garantörü çağırdı.,nonreversed,symmetrical,active,yes,
2,2,Garantörler bankacıyı çağırdı.,reversed,symmetrical,active,yes,
3,3,Garantörler bankacı tarafından çağrıldı.,nonreversed,symmetrical,passive,yes,
4,4,Bankacılar garantör tarafından çağrıldı.,reversed,symmetrical,passive,yes,
1,1,Konuklar davetçiyi aşağıladı.,nonreversed,symmetrical,active,yes,
2,2,Davetçiler konuğu aşağıladı.,reversed,symmetrical,active,yes,
3,3,Davetçiler konuk tarafından aşağılandı.,nonreversed,symmetrical,passive,yes,
4,4,Konuklar davetçi tarafından aşağılandı.,reversed,symmetrical,passive,yes,
1,1,Modeller fotoğrafçıyı bezdirdi.,nonreversed,symmetrical,active,yes,
2,2,Fotoğrafçılar modeli bezdirdi.,reversed,symmetrical,active,yes,
3,3,Fotoğrafçılar model tarafından bezdirildi.,nonreversed,symmetrical,passive,yes,
4,4,Modeller fotoğrafçı tarafından bezdirildi.,reversed,symmetrical,passive,yes,
1,1,Senatörler siyasetçiyi kucakladı.,nonreversed,symmetrical,active,yes,
2,2,Siyasetçiler senatörü kucakladı.,reversed,symmetrical,active,yes,
3,3,Siyasetçiler senatör tarafından kucaklandı.,nonreversed,symmetrical,passive,yes,
4,4,Senatörler siyasetçi tarafından kucaklandı.,reversed,symmetrical,passive,yes,
1,1,Cadılar büyücüyü övdü.,nonreversed,symmetrical,active,yes,
2,2,Büyücüler cadıyı övdü.,reversed,symmetrical,active,yes,
3,3,Büyücüler cadı tarafından övüldü.,nonreversed,symmetrical,passive,yes,
4,4,Cadılar büyücü tarafından övüldü.,reversed,symmetrical,passive,yes,